Republic of Albania,2009
Kingdom of Belgium,1949
Republic of Bulgaria,2004
Canada,1949
Republic of Croatia,2009
Czech Republic,1999
Kingdom of Denmark,1949
Republic of Estonia,2004
French Republic,1949
Federal Republic of Germany,1955
Hellenic Republic of Greece,1952
Hungary,1999
Republic of Iceland,1949
Italian Republic,1949 
Republic of Latvia,2004
Republic of Lithuania,2004
Grand Duchy of Luxembourg,1949
Montenegro,2017
Kingdom of the Netherlands,1949
Kingdom of Norway,1949
Republic of Poland,1999
Portugal,1949
Romania,2004
Slovakia,2004
Slovenia,2004
Kingdom of Spain,1982
Republic of Turkey,1952
United Kingdom of Great Britain and Northern Ireland,1949
United States of America,1949
